board,Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Quantity,Unit Price,Extended Price,Quantity Available,Description
input,CL21B105KOFNNNG,Samsung Electro-Mechanics,1276-6471-1-ND,27,C3,52,0.033,$1.71 ,453009,CAP CER 1UF 16V X7R 0805
input,RK73H2BTTD2R74F,"KOA Speer Electronics, Inc.",2019-RK73H2BTTD2R74FCT-ND,16,R6,1,0.1,$0.10 ,12890,RES 2.74 OHM 1% 1/4W 1206
input,2036-07-SMLF,Bourns Inc.,2036-07-SMLF-ND,8,E101,3,1.92,$5.76 ,1573,GDT 75V 10KA 3 POLE SMD
input,HZ0805C202R-10,Laird-Signal Integrity Products,240-2396-1-ND,5,FB5,8,0.2,$1.60 ,449768,FERRITE BEAD 2 KOHM 0805 1LN
input,OPA830ID,Texas Instruments,296-17400-5-ND,20,"U4, U6",2,2.86,$5.72 ,170,IC OPAMP VFB 1 CIRCUIT 8SOIC
input,OPA27GU/2K5,Texas Instruments,296-31706-1-ND,15,U3,1,3.07,$3.07 ,7042,IC OPAMP GP 1 CIRCUIT 8SOIC
input,THS4131CDR,Texas Instruments,296-46339-1-ND,42,U104,3,6.97,$20.91 ,2141,IC OPAMP DIFF 1 CIRCUIT 8SOIC
input,OPA1679IDR,Texas Instruments,296-46621-1-ND,31,U9,1,1.16,$1.16 ,9766,IC AUDIO 4 CIRCUIT 14SOIC
input,SN74LVC541ADBR,Texas Instruments,296-8518-1-ND,11,U5,1,0.53,$0.53 ,2791,IC BUF NON-INVERT 3.6V 20SSOP
input,RL1206FR-070R068L,Yageo,311-.068LWCT-ND,10,R7,1,0.38,$0.38 ,30653,RES 0.068 OHM 1% 1/4W 1206
input,CC0603JRNPO9BN470,Yageo,311-1065-1-ND,44,C12,2,0.1,$0.20 ,112081,CAP CER 47PF 50V C0G/NPO 0603
input,CC0603KRX7R8BB104,Yageo,311-1341-1-ND,2,C18,15,0.05,$0.75 ,11943123,CAP CER 0.1UF 25V X7R 0603
input,RT0603DRE07698RL,Yageo,311-2653-1-ND,47,R107,6,0.12,$0.72 ,25110,RES SMD 698 OHM 0.5% 1/10W 0603
input,CC0805FRNPO0BN102,Yageo,311-3585-1-ND,1,C31,13,0.236,$3.06 ,17228,CAP CER 1000PF 100V NPO 0805
input,CC0805JKNPO9BN332,Yageo,311-4211-1-ND,45,C122,3,0.38,$1.14 ,17289,CAP CER 3300PF 50V NPO 0805
input,1540-2,Keystone Electronics,36-1540-2-ND,33,,1,0.48,$0.48 ,12787,TERM TURRET HOLLOW L=6.75MM TIN
input,1562-2,Keystone Electronics,36-1562-2-ND,34,TP4,0,0,$0.00 ,10824,TERM TURRET HOLLOW L=3.96MM TIN
input,C1210C476M9RACTU,KEMET,399-5516-1-ND,28,"C5, C6, C109",5,1.13,$5.65 ,154252,CAP CER 47UF 6.3V X7R 1210
input,CGA4J2C0G1H333J125AA,TDK Corporation,445-6950-1-ND,37,C111,3,0.37,$1.11 ,103220,CAP CER 0.033UF 50V C0G 0805
input,C2012C0G1H682J060AA,TDK Corporation,445-7515-1-ND,46,C102,6,0.24,$1.44 ,3053,CAP CER 6800PF 50V C0G 0805
input,06036D106MAT2A,AVX Corporation,478-5318-1-ND,29,"C24, C104, C105",7,0.27,$1.89 ,2336849,CAP CER 10UF 6.3V X5R 0603
input,GRM1885C1H222GA01D,Murata Electronics,490-6381-1-ND,36,C112,12,0.146,$1.75 ,93681,CAP CER 2200PF 50V C0G/NP0 0603
input,GRM2195C1H103GA01D,Murata Electronics,490-8296-1-ND,14,"C1, C2, C32",7,0.52,$3.64 ,14975,CAP CER 10000PF 50V C0G/NP0 0805
input,2STD1665T4,STMicroelectronics,497-5236-1-ND,22,Q2,1,0.87,$0.87 ,5974,TRANS NPN 65V 6A DPAK
